,client_id,margem_tpv_média,total_rav_médio,limite,default_60d,default_mar,retencao,juros_am,tpv medio
0,00042ff,69.95416666666667,3974.446363636364,1100.0,0,0,9.8,5.69,5074.963333333334
1,0018d21,165.6916666666667,5675.364,11000.0,0,0,21.5,4.29,11471.243333333332
2,001d658,177.08363636363632,7851.055454545453,18500.0,0,0,13.9,3.59,21595.30909090909
3,001dadd,34.328,1535.6200000000001,2800.0,0,0,32.4,6.39,2299.8
4,0023bb5,137.28416666666666,2950.5825000000004,11800.0,0,0,21.1,4.99,10993.309166666668
5,0028d5e,53.371428571428574,2025.7685714285715,1900.0,0,1,17.2,6.39,4275.428571428572
6,002b01a,75.12750000000001,1563.21,6900.0,0,0,16.4,4.99,7465.297500000001
7,0031d29,80.58857142857143,5052.216666666667,2200.0,0,0,14.7,6.39,5662.2699999999995
8,004767f,167.49999999999997,5037.301999999999,11200.0,0,0,17.5,4.99,12959.861666666666
9,0053e7f,99.5225,4473.2075,4600.0,0,0,21.1,6.39,6590.179166666668
10,0063da1,191.19083333333333,9265.703333333337,15900.0,0,0,21.0,4.99,16005.301666666666
11,007ae20,37.54416666666666,970.3862499999999,2000.0,0,0,17.5,5.69,2688.6733333333327
12,007bb49,78.79499999999999,4021.3777777777777,4800.0,0,0,12.4,6.39,6999.371666666667
13,008b0a8,301.6033333333333,12833.411666666667,24400.0,0,0,16.2,2.89,24514.5625
14,008e4f2,501.5316666666667,24956.403333333335,69000.0,1,1,15.8,1.89,66865.78
15,0094f89,347.27583333333337,12554.7575,8300.0,0,0,4.7,2.89,34415.54666666667
16,0099a43,218.342,7150.914999999999,23500.0,1,0,17.3,2.89,26056.432
17,00a12b3,101.26,7378.368333333335,5100.0,0,0,22.7,6.39,8245.816666666668
18,00a14c1,335.896,20374.404,34200.0,0,0,22.9,3.59,29132.915999999997
19,00afc8b,258.4583333333333,5960.599166666667,13800.0,0,0,9.4,2.89,23175.980833333335
20,00b7378,359.65000000000003,9627.305,8300.0,1,1,10.3,5.69,21763.290833333336
21,00b9ab4,160.81416666666667,3714.1087500000003,9900.0,0,0,22.0,4.99,9190.974999999999
22,00bafb2,89.05857142857143,3058.1700000000005,5200.0,0,1,21.9,6.39,7538.802857142858
23,00bcd0d,95.23,2498.0600000000004,6300.0,0,1,16.1,4.99,9205.218333333334
24,00cd72a,286.8666666666667,7663.599999999999,16600.0,0,0,21.2,3.59,17806.743333333332
25,00d7990,303.75500000000005,14158.425833333335,23100.0,0,0,16.8,2.89,21645.99833333333
26,00d7b02,54.50272727272727,2475.381,3900.0,0,0,19.1,6.39,4427.819090909091
27,00dcaaf,60.98285714285715,1740.5514285714287,1900.0,0,0,16.4,6.39,3587.095714285714
28,00de358,239.2883333333333,11035.230000000001,23500.0,1,1,22.2,2.89,18036.787500000002
29,00df326,248.11166666666665,10426.495,20100.0,0,0,21.8,3.59,15787.224166666667
30,00dfe09,156.75499999999997,11309.689166666669,12400.0,0,0,20.5,5.69,15527.034999999998
31,00eeee3,398.7416666666666,10244.119999999999,16600.0,0,0,37.7,3.59,20824.6275
32,00f983e,492.7175,10142.620833333334,16600.0,0,0,11.9,4.99,32763.132499999996
33,00fd63e,78.83363636363636,2421.1718181818183,8300.0,0,1,27.4,4.99,7196.424545454546
34,01002b8,20.7625,22562.670833333334,9700.0,0,0,13.3,3.59,27277.073333333334
35,0101f6b,323.2341666666667,34351.974166666674,64200.0,0,1,20.1,1.89,51854.29416666667
36,0113f90,51.185833333333335,3649.9750000000004,5100.0,0,0,23.8,6.39,5084.86
37,012fb17,395.1133333333334,50211.301666666666,20700.0,0,0,4.2,1.89,80926.21
38,013512d,155.92624999999998,20050.1075,32900.0,0,0,13.4,3.59,43469.61
39,01388b7,258.4683333333333,11119.419,13800.0,0,0,24.6,4.99,13003.825000000003
40,0141fc9,143.60583333333332,4640.89,6400.0,0,0,17.2,4.99,6619.613333333334
41,0148d53,79.8225,5176.416363636364,6500.0,0,0,27.4,6.39,7348.9783333333335
42,0150aa5,7.562222222222222,6386.854444444445,9900.0,0,0,17.8,4.99,9590.21888888889
43,015870b,220.02166666666668,7280.983333333334,6900.0,1,1,11.8,5.69,14060.183333333334
44,0161d27,474.58916666666664,16646.126666666667,41400.0,1,0,14.5,2.49,48261.94166666666
45,01673d6,460.212,37898.06222222222,35500.0,1,1,25.1,2.89,38204.11
46,0173ccb,173.51,5271.640999999999,13800.0,0,0,24.0,4.99,11447.988000000001
47,01aff61,377.98749999999995,20020.989999999998,20700.0,0,0,11.5,2.89,31727.512499999997
48,01b20df,257.3866666666667,12668.995,11800.0,0,0,34.9,5.69,15309.245000000003
49,01b6b3e,945.0041666666666,21376.321666666667,30400.0,0,0,21.9,2.89,32810.9425
50,01b8101,60.059999999999995,26186.677499999998,44200.0,0,0,13.6,3.59,51954.50374999999
51,01b9e86,224.9775,0.0,22600.0,1,1,19.4,2.89,17665.00333333333
52,01bbfd5,412.1116666666667,11573.955,30800.0,1,1,21.6,2.89,25996.16833333333
53,01c3da5,41.00727272727273,2776.2836363636366,4000.0,0,0,27.0,6.39,3589.2827272727272
54,01ce685,211.06833333333336,13711.460833333333,19300.0,1,1,27.2,3.59,17341.375833333335
55,01e33de,147.98545454545453,6268.547272727273,6800.0,1,0,17.9,5.69,8216.174545454543
56,01e4376,682.1458333333335,29954.552000000003,57300.0,0,0,20.0,1.89,91754.22000000002
57,01ef9c7,283.5781818181818,8888.108181818183,13500.0,1,1,25.7,4.99,11006.614545454546
58,01f5448,235.31916666666663,7744.749166666666,19900.0,0,0,23.0,3.59,16442.9275
59,01f704f,107.59833333333331,3746.235,6000.0,0,0,9.7,4.99,11260.243333333332
60,0201d39,175.665,6680.555,11000.0,0,0,22.4,4.99,8525.285
61,020c8da,173.08875000000003,11646.727142857142,8800.0,1,0,12.9,6.39,14315.903750000001
62,0211bd4,271.10749999999996,24810.41,20700.0,0,0,11.3,3.59,36433.40875
63,021842e,231.89,22772.47888888889,28700.0,1,1,13.5,3.59,35050.083333333336
64,02255b7,185.2208333333333,6491.920000000001,11000.0,0,0,26.1,4.99,10291.910000000002
65,023b059,463.39166666666665,11346.23,40700.0,0,0,21.2,2.89,31650.985833333336
66,023c3dc,176.1591666666667,2019.6616666666666,13000.0,0,0,22.7,4.99,10741.549166666668
67,023cdfc,191.21699999999998,32838.818999999996,32300.0,0,0,21.0,2.89,39720.573
68,0248d04,70.145,1761.5983333333334,2800.0,0,0,8.9,6.39,6038.512499999999
69,0249ce2,586.3774999999999,26312.61666666667,20700.0,1,0,6.9,1.89,45955.46083333334
70,0254dee,92.89636363636363,3455.247272727272,8800.0,0,0,27.5,6.39,6431.12090909091
71,0261c08,527.335,26629.00333333333,34500.0,0,0,19.3,2.89,33306.0625
72,026577c,72.172,3603.54125,2300.0,0,0,8.0,4.99,6058.885
73,026594c,219.45583333333335,1903.5820000000003,11000.0,0,0,17.4,3.59,14412.197500000002
74,026c1b3,143.6157142857143,3820.3400000000006,2800.0,0,0,8.9,6.39,11883.141428571427
75,028563e,652.3675,24286.164166666666,52400.0,0,0,23.3,1.89,44475.70500000001
76,028c264,50.96,4016.520833333332,4400.0,0,0,27.5,6.39,4737.7891666666665
77,0290f95,116.497,3370.9511111111115,9800.0,0,0,26.3,4.99,8485.153999999999
78,02a47bb,332.81,16042.226666666667,27600.0,0,0,16.5,2.89,26226.15166666667
79,02adb3f,1869.34,162882.08083333334,69000.0,0,0,4.0,1.89,294973.9283333334
80,02ae998,102.88583333333334,3278.6366666666668,8300.0,0,0,21.5,6.39,7085.010833333333
81,02b457c,95.59833333333331,7147.781666666667,6900.0,0,0,22.4,6.39,11303.398333333333
82,02b5885,73.99499999999999,3460.039166666666,1900.0,0,0,9.3,6.39,3601.3025
83,02cad2e,179.77416666666662,5676.534166666667,2100.0,0,0,7.6,6.39,10158.251666666665
84,02cfae0,484.4136363636364,91774.25909090908,69000.0,0,0,6.4,1.89,168780.65727272726
85,02e4e74,177.39999999999998,10028.218333333332,23200.0,0,0,21.7,3.59,20342.02666666667
86,02f3dbc,193.39916666666662,8238.029999999999,5800.0,0,0,13.2,6.39,9697.6
87,02f64b6,147.643,7615.628888888889,5700.0,0,0,11.7,6.39,10411.903
